iter	MultiClass
0	1.350195547
1	1.326078364
2	1.308165593
3	1.292310845
4	1.270539792
5	1.250506437
6	1.23207673
7	1.217392574
8	1.201022998
9	1.187500653
10	1.175874655
11	1.167817569
12	1.152517048
13	1.14198206
14	1.12962726
15	1.122896631
16	1.111711179
17	1.102428402
18	1.089126036
19	1.080106752
20	1.067987247
21	1.058306963
22	1.051435693
23	1.041707977
24	1.032599176
25	1.027225278
26	1.020907723
27	1.013407368
28	1.007847639
29	1.000655732
30	0.9908927842
31	0.9831386371
32	0.9739170676
33	0.9648015602
34	0.9569128767
35	0.9488564038
36	0.9430173125
37	0.9349884648
38	0.9302572137
39	0.9245995733
40	0.9166141482
41	0.9127885064
42	0.9054821257
43	0.9017363932
44	0.895531323
45	0.8889037391
46	0.8806454282
47	0.8760276196
48	0.8718605886
49	0.8681081366
50	0.8617360723
51	0.8562673343
52	0.8501710533
53	0.8439248278
54	0.839614242
55	0.8347764033
56	0.8291002321
57	0.8232817518
58	0.8172000284
59	0.8129266377
60	0.8053161285
61	0.801105129
62	0.7973002796
63	0.7926953501
64	0.7867684021
65	0.7822962106
66	0.7778992022
67	0.7732873031
68	0.7686168467
69	0.7642265785
70	0.7588775144
71	0.7534314381
72	0.7478219159
73	0.7430699759
74	0.7371277292
75	0.7316352314
76	0.7273139533
77	0.7228002036
78	0.7194247131
79	0.7157243762
80	0.7113360275
81	0.7073306318
82	0.7011342849
83	0.6976499377
84	0.6921828474
85	0.6865844473
86	0.6823646179
87	0.6797721258
88	0.6739237558
89	0.669614176
90	0.6642782729
91	0.6604737248
92	0.6566398678
93	0.6534421179
94	0.649834931
95	0.6464156809
96	0.6427393858
97	0.6400071268
98	0.6359397189
99	0.6320152995
