iter	Passed	Remaining
0	2	233
1	4	207
2	5	193
3	7	186
4	9	185
5	11	182
6	13	179
7	15	176
8	17	173
9	19	171
10	20	169
11	22	168
12	24	166
13	26	165
14	28	163
15	30	160
16	32	158
17	34	156
18	36	154
19	38	152
20	40	151
21	41	148
22	43	146
23	45	144
24	47	142
25	49	140
26	51	138
27	53	136
28	55	134
29	57	133
30	58	131
31	60	129
32	62	127
33	64	124
34	66	123
35	68	121
36	70	119
37	72	117
38	73	115
39	75	113
40	77	111
41	79	109
42	81	107
43	83	106
44	85	104
45	87	102
46	89	100
47	91	98
48	92	96
49	94	94
50	96	92
51	98	91
52	100	89
53	102	87
54	104	85
55	106	83
56	107	81
57	109	79
58	111	77
59	113	75
60	115	73
61	117	71
62	119	69
63	120	68
64	122	66
65	124	64
66	126	62
67	128	60
68	130	58
69	132	56
70	134	54
71	136	53
72	138	51
73	139	49
74	141	47
75	143	45
76	145	43
77	147	41
78	149	39
79	151	37
80	152	35
81	154	33
82	156	32
83	158	30
84	160	28
85	162	26
86	164	24
87	166	22
88	168	20
89	170	18
90	172	17
91	174	15
92	176	13
93	178	11
94	180	9
95	182	7
96	183	5
97	185	3
98	187	1
99	189	0
